Datum;Zeit;Wetter;Temp;Einsatz;Ort;Besonderheit
20.09.2020;14:24;;;vku;Katzenberg;
30.09.2020;17:18;;;vku;Hopfenkreutzung;
26.11.2020;12:50;;;Unterstützung Rettungsdienst;Ilkendorf;
29.11.2020;13:45;;;Unterstützung Rettungsdienst;Heynitz;
08.12.2020;06:36;;;Ölspur;Gewerbegebiet;
24.12.2020;16:41;;;brand;Mahlitzsch;
20.01.2019;14:10;;;vku;Hopfenkreutzung;
02.03.2019;21:32;;;Unterstützung Rettungsdienst;Heynitz;
10.03.2019;22:06;;;Baum auf Straße;Mahlitzsch;
11.03.2019;01:25;;;Baum auf Straße;Kottewitz;
16.03.2019;00:13;;;Baum auf Straße;Kottewitz;
28.03.2019;12:32;;;vku;B101;
23.04.2019;17:18;;;Baum auf Straße;Heynitz;
30.04.2019;20:41;;;Rauchentwicklung;Katzenberg;
12.06.2019;22:27;;;Baum auf Straße;Klipphausen;
20.07.2019;13:16;;;brand;A14;
15.08.2019;20:15;;;brand;Katzenberg;
19.12.2019;17:48;;;vku;Hopfenkreutzung;
18.01.2018;16:14;;;Baum auf Straße;Heynitz;Sturmtief
18.01.2018;16:45;;;Baum auf Straße;Heynitz;Sturmtief
18.01.2018;17:00;;;Baum auf Straße;Wunschwitz;Sturmtief
18.01.2018;17:15;;;Baum auf Straße;Heynitz;Sturmtief
18.01.2018;17:37;;;Baum auf Straße;Kottewitz;Sturmtief
18.01.2018;17:45;;;Baum auf Straße;Kottewitz;Sturmtief
18.01.2018;18:00;;;Baum auf Straße;Wuhsen;Sturmtief
18.01.2018;18:20;;;Baum auf Straße;Karcha;Sturmtief
18.01.2018;18:45;;;Baum auf Straße;Wunschwitz;Sturmtief
18.01.2018;11:00;;;Baum auf Straße;Wendischbora;Sturmtief
04.03.2018;07:59;;;Tierrettung;Katzenberg;
07.03.2018;12:45;;;Unterstützung Rettungsdienst;Wunschwitz;
23.04.2018;10:58;;;vku;A4;
30.04.2018;21:20;;;brand;;
14.05.2018;15:29;;;Baum auf Straße;Wendischbora;
01.06.2018;17:00;;;Wachbesetzung;Gerätehaus;
11.06.2018;15:47;;;vku;Hopfenkreutzung;
19.06.2018;13:48;;;Ölspur;Gewerbegebiet;
29.06.2018;17:14;;;brand;Wendischbora;
20.07.2018;19:48;;;Unterstützung Rettungsdienst;Heynitz;
25.07.2018;10:46;;;Baum auf Straße;Oberstößwitz;
27.07.2018;08:28;;;vku;A4;
10.08.2018;16:40;;;BMA;Nossen;
20.08.2018;10:51;;;brand;A4;
08.09.2018;12:42;;;brand;Katzenberg;
10.09.2018;20:40;;;brand;A4;
04.10.2018;18:59;;;vku;B101;
06.11.2018;23:36;;;brand;Katzenberg;
06.12.2018;20:02;;;vku;A4;
