datum;zeit;wetter;temp;einsatz;ort;besonderheit
20.01.2019;14:10;;;vku;hopfenkreutzung;
02.03.2019;21:32;;;unterstützung rettungsdienst;heynitz;
10.03.2019;22:06;;;baum auf straße;mahlitzsch;
11.03.2019;01:25;;;baum auf straße;kottewitz;
16.03.2019;00:13;;;baum auf straße;kottewitz;
28.03.2019;12:32;;;vku;b101;
23.04.2019;17:18;;;baum auf straße;heynitz;
30.04.2019;20:41;;;rauchentwicklung;katzenberg;
12.06.2019;22:27;;;baum auf straße;klipphausen;
20.07.2019;13:16;;;brand;a14;
15.08.2019;20:15;;;brand;katzenberg;
19.12.2019;17:48;;;vku;hopfenkreutzung;
18.01.2018;16:14;;;baum auf straße;heynitz;sturmtief
18.01.2018;16:45;;;baum auf straße;heynitz;sturmtief
18.01.2018;17:00;;;baum auf straße;wunschwitz;sturmtief
18.01.2018;17:15;;;baum auf straße;heynitz;sturmtief
18.01.2018;17:37;;;baum auf straße;kottewitz;sturmtief
18.01.2018;17:45;;;baum auf straße;kottewitz;sturmtief
18.01.2018;18:00;;;baum auf straße;wuhsen;sturmtief
18.01.2018;18:20;;;baum auf straße;karcha;sturmtief
18.01.2018;18:45;;;baum auf straße;wunschwitz;sturmtief
18.01.2018;11:00;;;baum auf straße;wendischbora;sturmtief
04.03.2018;07:59;;;tierrettung;katzenberg;
07.03.2018;12:45;;;unterstützung rettungsdienst;wunschwitz;
23.04.2018;10:58;;;vku;a4;
30.04.2018;21:20;;;brand;;
14.05.2018;15:29;;;baum auf straße;wendischbora;
01.06.2018;17:00;;;wachbesetzung;gerätehaus;
11.06.2018;15:47;;;vku;hopfenkreutzung;
19.06.2018;13:48;;;ölspur;gewerbegebiet;
29.06.2018;17:14;;;brand;wendischbora;
20.07.2018;19:48;;;unterstützung rettungsdienst;heynitz;
25.07.2018;10:46;;;baum auf straße;oberstößwitz;
27.07.2018;08:28;;;vku;a4;
10.08.2018;16:40;;;bma;nossen;
20.08.2018;10:51;;;brand;a4;
08.09.2018;12:42;;;brand;katzenberg;
10.09.2018;20:40;;;brand;a4;
04.10.2018;18:59;;;vku;b101;
06.11.2018;23:36;;;brand;katzenberg;
06.12.2018;20:02;;;vku;a4;
